book_id,title,ratings,url,cover_image
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,60032,https://www.goodreads.com/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck,https://images.gr-assets.com/books/1465761302m/28257707.jpg
9571725,Murder on the Orient Express,2136,https://www.goodreads.com/book/show/9571725-murder-on-the-orient-express,https://images.gr-assets.com/books/1409605149m/9571725.jpg
6071573,The Alchemist,8174,https://www.goodreads.com/book/show/6071573-the-alchemist,https://images.gr-assets.com/books/1494676749m/6071573.jpg
6652906,"The Girl Who Played with Fire (Millennium, #2)",6410,https://www.goodreads.com/book/show/6652906-the-girl-who-played-with-fire,https://images.gr-assets.com/books/1382941806m/6652906.jpg
17788401,Ugly Love,111027,https://www.goodreads.com/book/show/17788401-ugly-love,https://images.gr-assets.com/books/1399179135m/17788401.jpg
181132,And Then There Were None,2090,https://www.goodreads.com/book/show/181132.And_Then_There_Were_None,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
27362503,It Ends with Us,88278,https://www.goodreads.com/book/show/27362503-it-ends-with-us,https://images.gr-assets.com/books/1470427482m/27362503.jpg
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",1858152,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,https://images.gr-assets.com/books/1327868566m/2429135.jpg
140303,Death on the Nile,1036,https://www.goodreads.com/book/show/140303.Death_on_the_Nile,https://images.gr-assets.com/books/1309204391m/140303.jpg
204908,The 7 Habits of Highly Effective People,406,https://www.goodreads.com/book/show/204908.The_7_Habits_of_Highly_Effective_People,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
